timestamp_ms,lastBlitMs,rectCount,dirtyArea,spike
1778358100612,0.3127,0,0,0
1778358100660,0.2891,0,0,0
1778358100707,0.3437,0,0,0
1778358100754,0.3154,0,0,0
1778358100800,0.3135,0,0,0
1778358100846,0.3019,0,0,0
1778358100893,0.3298,0,0,0
1778358100940,0.3166,0,0,0
1778358100986,0.4941,0,0,0
1778358101032,0.3015,0,0,0
1778358101078,0.3498,0,0,0
1778358101125,0.3448,0,0,0
1778358101172,0.2198,0,0,0
1778358101219,0.3224,0,0,0
1778358101266,0.3064,0,0,0
1778358101311,0.2981,0,0,0
1778358101358,0.2872,0,0,0
1778358101404,0.2854,0,0,0
1778358101452,0.3381,0,0,0
1778358101499,0.3438,0,0,0
1778358101547,0.2889,0,0,0
1778358101594,0.297,0,0,0
1778358101641,0.2954,0,0,0
1778358101688,0.2876,0,0,0
1778358101736,0.3405,0,0,0
1778358101782,0.3244,0,0,0
1778358101828,0.32,0,0,0
1778358101874,0.3408,0,0,0
1778358101920,0.3387,0,0,0
1778358101967,0.2981,0,0,0
1778358102012,0.4359,0,0,0
1778358102058,0.342,0,0,0
1778358102106,0.3648,0,0,0
1778358102152,0.3045,0,0,0
1778358102197,0.3181,0,0,0
1778358102245,0.3758,0,0,0
1778358102291,0.2992,0,0,0
1778358102338,0.2394,0,0,0
1778358102386,0.3142,0,0,0
1778358102432,0.2487,0,0,0
1778358102479,0.2304,0,0,0
1778358102526,0.3713,0,0,0
1778358102572,0.3197,0,0,0
1778358102619,0.3775,0,0,0
1778358102666,0.3279,0,0,0
1778358102714,0.4313,0,0,0
1778358102761,0.3762,0,0,0
1778358102807,0.3789,0,0,0
1778358102853,0.2812,0,0,0
1778358102901,0.3445,0,0,0
1778358102947,0.3367,0,0,0
1778358102995,0.4325,0,0,0
1778358103042,0.3698,0,0,0
1778358103088,0.329,0,0,0
1778358103133,0.302,0,0,0
1778358103180,0.3653,0,0,0
1778358103226,0.3014,0,0,0
1778358103274,0.4012,0,0,0
1778358103320,0.3559,0,0,0
1778358103367,0.2802,0,0,0
1778358103414,0.3259,0,0,0
1778358103461,0.3592,0,0,0
1778358103508,0.3056,0,0,0
1778358103555,0.3937,0,0,0
1778358103603,0.3115,0,0,0
1778358103649,0.3069,0,0,0
1778358103696,0.3447,0,0,0
1778358103743,0.3928,0,0,0
1778358103789,0.3064,0,0,0
1778358103836,0.303,0,0,0
1778358103884,0.316,0,0,0
1778358103931,0.3357,0,0,0
1778358103977,0.3291,0,0,0
1778358104024,0.4478,0,0,0
1778358104070,0.4322,0,0,0
1778358104117,0.3221,0,0,0
1778358104164,0.2705,0,0,0
1778358104210,0.3206,0,0,0
1778358104256,0.3565,0,0,0
1778358104302,0.3079,0,0,0
1778358104350,0.3145,0,0,0
1778358104396,0.3379,0,0,0
1778358104443,0.3533,0,0,0
1778358104489,0.3171,0,0,0
1778358104535,0.4903,0,0,0
1778358104582,0.4879,0,0,0
1778358104629,0.4646,0,0,0
1778358104675,0.521,0,0,0
1778358104722,0.3268,0,0,0
1778358104769,0.2851,0,0,0
1778358104816,0.4152,0,0,0
1778358104864,0.3033,0,0,0
1778358104911,0.295,0,0,0
1778358104958,0.3938,0,0,0
1778358105004,0.3605,0,0,0
1778358105051,0.2754,0,0,0
1778358105098,0.3609,0,0,0
1778358105145,0.3038,0,0,0
1778358105191,0.3039,0,0,0
1778358105237,0.4174,0,0,0
1778358105284,0.3218,0,0,0
1778358105330,0.3177,0,0,0
1778358105377,0.3161,0,0,0
1778358105424,0.3363,0,0,0
1778358105471,0.3052,0,0,0
1778358105517,0.3381,0,0,0
1778358105565,0.3347,0,0,0
1778358105611,0.3639,0,0,0
1778358105657,0.3333,0,0,0
1778358105703,0.2761,0,0,0
1778358105750,0.3352,0,0,0
1778358105797,0.42,0,0,0
1778358105844,0.3003,0,0,0
1778358105890,0.3561,0,0,0
1778358105937,0.3678,0,0,0
1778358105984,0.3158,0,0,0
1778358106032,0.3461,0,0,0
1778358106078,0.3514,0,0,0
1778358106125,0.3415,0,0,0
1778358106173,0.3208,0,0,0
1778358106221,0.4608,0,0,0
1778358106267,0.539,0,0,0
1778358106314,0.531,0,0,0
1778358106361,0.3222,0,0,0
1778358106407,0.8036,0,0,0
1778358106454,0.3271,0,0,0
1778358106500,0.4015,0,0,0
1778358106547,0.3123,0,0,0
1778358106593,0.3229,0,0,0
1778358106640,0.3353,0,0,0
1778358106686,0.2976,0,0,0
1778358106733,0.3488,0,0,0
1778358106780,0.4464,0,0,0
1778358106827,0.352,0,0,0
1778358106874,0.2999,0,0,0
1778358106922,0.3012,0,0,0
1778358106969,0.3532,0,0,0
1778358107015,0.3598,0,0,0
1778358107062,0.2967,0,0,0
1778358107109,0.3103,0,0,0
1778358107154,0.6321,0,0,0
1778358107201,0.435,0,0,0
1778358107248,0.3312,0,0,0
1778358107294,0.3614,0,0,0
1778358107339,0.4029,0,0,0
1778358107386,0.3627,0,0,0
1778358107433,0.3192,0,0,0
1778358107480,0.2945,0,0,0
1778358107526,0.3309,0,0,0
1778358107574,0.4151,0,0,0
1778358107621,0.3,0,0,0
1778358107666,0.3038,0,0,0
1778358107713,0.3717,0,0,0
1778358107760,0.2075,0,0,0
1778358107806,0.2956,0,0,0
1778358107854,0.3158,0,0,0
1778358107900,0.3965,0,0,0
1778358107948,0.3728,0,0,0
1778358107995,0.3696,0,0,0
1778358108043,0.3463,0,0,0
1778358108089,0.3092,0,0,0
1778358108136,0.3258,0,0,0
1778358108183,0.5035,0,0,0
1778358108230,0.3599,0,0,0
1778358108277,0.3267,0,0,0
1778358108325,0.3147,0,0,0
1778358108371,0.2643,0,0,0
1778358108418,0.3096,0,0,0
1778358108465,0.346,0,0,0
1778358108511,0.3575,0,0,0
1778358108559,0.3043,0,0,0
1778358108605,0.3132,0,0,0
1778358108652,0.3274,0,0,0
1778358108699,0.3973,0,0,0
1778358108747,0.3992,0,0,0
1778358108792,0.3153,0,0,0
1778358108840,0.3454,0,0,0
1778358108887,0.2409,0,0,0
1778358108934,0.3048,0,0,0
1778358108981,0.3108,0,0,0
1778358109028,0.3016,0,0,0
1778358109074,0.3615,0,0,0
1778358109120,0.4464,0,0,0
1778358109167,0.3355,0,0,0
1778358109213,0.5674,0,0,0
1778358109258,0.3069,0,0,0
1778358109305,0.3021,0,0,0
1778358109352,0.3573,0,0,0
1778358109397,0.3213,0,0,0
1778358109444,0.291,0,0,0
1778358109490,0.2941,0,0,0
1778358109537,0.3119,0,0,0
1778358109584,0.3326,0,0,0
1778358109631,0.4185,0,0,0
1778358109678,0.4089,0,0,0
1778358109725,0.3342,0,0,0
1778358109771,0.3685,0,0,0
1778358109819,0.3105,0,0,0
1778358109866,0.3588,0,0,0
1778358109912,0.3103,0,0,0
1778358109960,0.4155,0,0,0
1778358110006,0.4343,0,0,0
1778358110053,0.3191,0,0,0
1778358110100,0.3308,0,0,0
1778358110146,0.2978,0,0,0
1778358110192,0.3018,0,0,0
1778358110239,0.3273,0,0,0
1778358110286,0.3458,0,0,0
1778358110332,0.298,0,0,0
1778358110380,0.3203,0,0,0
1778358110426,0.3751,0,0,0
1778358110474,0.3555,0,0,0
1778358110520,0.3124,0,0,0
1778358110568,0.3727,0,0,0
1778358110614,0.3606,0,0,0
1778358110661,0.2842,0,0,0
1778358110708,0.3085,0,0,0
1778358110754,0.3863,0,0,0
1778358110801,0.2956,0,0,0
1778358110848,0.298,0,0,0
1778358110895,0.3598,0,0,0
1778358110942,0.4338,0,0,0
1778358110988,0.3082,0,0,0
1778358111035,0.3862,0,0,0
1778358111082,0.594,0,0,0
1778358111128,0.2977,0,0,0
1778358111175,0.3594,0,0,0
1778358111222,0.3923,0,0,0
1778358111269,0.4768,0,0,0
1778358111316,0.2797,0,0,0
1778358111363,0.3877,0,0,0
1778358111408,0.3361,0,0,0
1778358111454,0.3485,0,0,0
1778358111499,0.4066,0,0,0
1778358111546,0.3307,0,0,0
1778358111592,0.323,0,0,0
1778358111638,0.3076,0,0,0
1778358111685,0.3031,0,0,0
1778358111731,0.2295,0,0,0
1778358111777,0.3991,0,0,0
1778358111823,0.2967,0,0,0
1778358111870,0.2292,0,0,0
1778358111917,0.2952,0,0,0
1778358111964,0.3059,0,0,0
1778358112012,0.3005,0,0,0
1778358112058,0.2688,0,0,0
1778358112105,0.2855,0,0,0
1778358112151,0.2988,0,0,0
1778358112199,0.2319,0,0,0
1778358112247,0.3022,0,0,0
1778358112292,0.4074,0,0,0
1778358112337,0.2951,0,0,0
1778358112384,0.2831,0,0,0
1778358112430,0.3014,0,0,0
1778358112477,0.3166,0,0,0
1778358112523,0.2592,0,0,0
1778358112570,0.2831,0,0,0
1778358112617,0.2247,0,0,0
1778358112664,0.3504,0,0,0
1778358112710,0.2988,0,0,0
1778358112757,0.2803,0,0,0
1778358112804,0.4295,0,0,0
1778358112850,0.2877,0,0,0
1778358112898,0.2865,0,0,0
1778358112945,0.3261,0,0,0
1778358112993,0.3019,0,0,0
1778358113040,0.2833,0,0,0
1778358113087,0.2989,0,0,0
1778358113133,0.2949,0,0,0
1778358113180,0.3943,0,0,0
1778358113227,0.443,0,0,0
1778358113274,0.4265,0,0,0
1778358113321,0.3501,0,0,0
1778358113368,0.4297,0,0,0
1778358113415,0.4718,0,0,0
1778358113461,0.2983,0,0,0
1778358113508,0.3355,0,0,0
1778358113554,0.4506,0,0,0
1778358113600,0.3229,0,0,0
1778358113647,0.3297,0,0,0
1778358113694,0.4013,0,0,0
1778358113742,0.4763,0,0,0
1778358113788,0.3276,0,0,0
1778358113835,0.3404,0,0,0
1778358113881,0.3801,0,0,0
1778358113926,0.3481,0,0,0
1778358113972,0.4167,0,0,0
1778358114018,0.3684,0,0,0
1778358114065,0.4751,0,0,0
1778358114113,0.4015,0,0,0
1778358114158,0.312,0,0,0
1778358114205,0.3551,0,0,0
1778358114253,0.4455,0,0,0
1778358114299,0.3122,0,0,0
1778358114345,0.3958,0,0,0
1778358114391,0.3298,0,0,0
1778358114437,0.307,0,0,0
1778358114483,0.3271,0,0,0
1778358114530,0.3801,0,0,0
1778358114577,0.3309,0,0,0
1778358114623,0.344,0,0,0
1778358114669,0.4369,0,0,0
1778358114716,0.3814,0,0,0
1778358114763,0.4745,0,0,0
1778358114809,0.3562,0,0,0
1778358114856,0.3599,0,0,0
1778358114903,0.2528,0,0,0
1778358114949,0.3167,0,0,0
1778358114996,0.3611,0,0,0
1778358115042,0.2926,0,0,0
1778358115090,0.3354,0,0,0
1778358115136,0.3358,0,0,0
1778358115182,0.2842,0,0,0
1778358115228,0.3128,0,0,0
1778358115274,0.3072,0,0,0
1778358115320,0.2953,0,0,0
1778358115368,0.4253,0,0,0
1778358115414,0.345,0,0,0
1778358115461,0.2723,0,0,0
1778358115509,0.2861,0,0,0
1778358115555,0.2854,0,0,0
1778358115601,0.2886,0,0,0
1778358115648,0.3175,0,0,0
1778358115694,0.4,0,0,0
1778358115742,0.4562,0,0,0
1778358115789,0.4093,0,0,0
1778358115836,0.4388,0,0,0
1778358115883,0.3572,0,0,0
1778358115931,0.3863,0,0,0
1778358115977,0.3389,0,0,0
1778358116024,0.3466,0,0,0
1778358116070,0.404,0,0,0
1778358116116,0.3715,0,0,0
1778358116164,0.3267,0,0,0
1778358116211,0.3011,0,0,0
1778358116258,0.3488,0,0,0
1778358116304,0.3645,0,0,0
1778358116351,0.3273,0,0,0
1778358116398,0.3829,0,0,0
1778358116445,0.2655,0,0,0
1778358116492,0.2894,0,0,0
1778358116538,0.2966,0,0,0
1778358116584,0.2904,0,0,0
1778358116630,0.3113,0,0,0
1778358116677,0.3161,0,0,0
1778358116723,0.4083,0,0,0
1778358116771,0.3319,0,0,0
1778358116818,0.5035,0,0,0
1778358116865,0.4547,0,0,0
1778358116912,0.4219,0,0,0
1778358116960,0.3885,0,0,0
1778358117006,0.3254,0,0,0
1778358117053,0.3838,0,0,0
1778358117102,0.3541,0,0,0
1778358117150,0.3813,0,0,0
1778358117195,0.3541,0,0,0
1778358117241,0.4051,0,0,0
1778358117286,0.3541,0,0,0
1778358117333,0.3573,0,0,0
1778358117381,0.446,0,0,0
1778358117427,0.4315,0,0,0
1778358117474,0.3819,0,0,0
1778358117521,0.3534,0,0,0
1778358117568,0.332,0,0,0
1778358117614,0.3403,0,0,0
1778358117661,0.3272,0,0,0
1778358117707,0.4377,0,0,0
1778358117754,0.2837,0,0,0
1778358117801,0.3433,0,0,0
1778358117848,0.3099,0,0,0
1778358117895,0.3491,0,0,0
1778358117942,0.433,0,0,0
1778358117989,0.2866,0,0,0
1778358118036,0.369,0,0,0
1778358118083,0.3574,0,0,0
1778358118130,0.3571,0,0,0
1778358118177,0.3132,0,0,0
1778358118224,0.205,0,0,0
1778358118270,0.3099,0,0,0
1778358118319,0.4295,0,0,0
1778358118366,0.3663,0,0,0
1778358118413,0.3406,0,0,0
1778358118459,0.4211,0,0,0
1778358118506,0.2715,0,0,0
1778358118553,0.298,0,0,0
1778358118600,0.3626,0,0,0
1778358118647,0.3016,0,0,0
1778358118695,0.303,0,0,0
1778358118741,0.3016,0,0,0
1778358118788,0.3041,0,0,0
1778358118834,0.3629,0,0,0
1778358118881,0.3227,0,0,0
1778358118928,0.3665,0,0,0
1778358118974,0.3595,0,0,0
1778358119021,0.4121,0,0,0
1778358119068,0.5161,0,0,0
1778358119114,0.3212,0,0,0
1778358119160,0.4135,0,0,0
1778358119207,0.2998,0,0,0
1778358119253,0.338,0,0,0
1778358119301,0.3858,0,0,0
1778358119347,0.335,0,0,0
1778358119394,0.395,0,0,0
1778358119441,0.3135,0,0,0
1778358119488,0.4061,0,0,0
1778358119534,0.4057,0,0,0
1778358119580,0.4248,0,0,0
1778358119628,0.3579,0,0,0
1778358119675,0.2425,0,0,0
1778358119722,0.3116,0,0,0
1778358119769,0.2893,0,0,0
1778358119816,0.3536,0,0,0
1778358119862,0.3118,0,0,0
1778358119908,0.309,0,0,0
1778358119956,0.4688,0,0,0
1778358120003,0.4019,0,0,0
1778358120049,0.4775,0,0,0
1778358120095,0.3377,0,0,0
1778358120141,0.4594,0,0,0
1778358120188,0.2862,0,0,0
1778358120235,0.4062,0,0,0
1778358120282,0.4253,0,0,0
1778358120328,0.3591,0,0,0
1778358120375,0.311,0,0,0
1778358120422,0.4228,0,0,0
1778358120470,0.3165,0,0,0
1778358120517,0.3855,0,0,0
1778358120563,0.3322,0,0,0
1778358120609,0.5291,0,0,0
1778358120657,0.3248,0,0,0
1778358120703,0.3179,0,0,0
1778358120749,0.3365,0,0,0
1778358120795,0.3908,0,0,0
1778358120842,0.3007,0,0,0
1778358120889,0.3133,0,0,0
1778358120936,0.3741,0,0,0
1778358120982,0.4234,0,0,0
1778358121028,0.5735,0,0,0
1778358121075,0.3385,0,0,0
1778358121123,0.2228,0,0,0
1778358121170,0.3272,0,0,0
1778358121216,0.313,0,0,0
1778358121263,0.3184,0,0,0
1778358121309,0.4344,0,0,0
1778358121356,0.2387,0,0,0
1778358121402,0.3273,0,0,0
1778358121448,0.3487,0,0,0
1778358121496,0.4206,0,0,0
1778358121542,0.5268,0,0,0
1778358121590,0.3666,0,0,0
1778358121637,0.2355,0,0,0
1778358121684,0.1934,0,0,0
1778358121731,0.2904,0,0,0
1778358121778,0.3219,0,0,0
1778358121823,0.2806,0,0,0
1778358121869,0.3694,0,0,0
1778358121914,0.3105,0,0,0
1778358121961,0.4121,0,0,0
1778358122008,0.3606,0,0,0
